id,title,price,description,long,latitude,review_airbnb,calification_rate,created_at,verified,host_review,cameras_on_site,rooms,year,city,Commune_name,Commune_number
1011761919469637760,Hermoso apartamento las  palmas,640000.0,"Vivienda rentada entero en Medellín, Colombia",-75.55798253,6.215317472,0.0,,2023-08,True,,True,2.0,2023.0,MEDELLÍN,Buenos Aires,Comuna 9
957959124861517056,PVT APT  3BD  - Lleras Park,791679.0,"Vivienda rentada entero en Medellín, Colombia",-75.5699178,6.2103367,0.0,,2023-08,True,,True,2.0,2023.0,MEDELLÍN,El Poblado,Comuna 6
705259118691125248,Amplia y acogedora casa de habitación privada en Medellín,676886.0,"Habitación en Medellín, Colombia",-75.56689,6.2072,0.0,,2022-02,,,False,1.0,2022.0,MEDELLÍN,El Poblado,Comuna 6
7840662,POBLADO NEAR PARQUE LLERAS APARTMENT,712512.0,"Vivienda rentada entero en Medellín, Colombia",-75.56482,6.20724,65.0,4.86,2015-08,,65.0,False,3.0,2015.0,MEDELLÍN,El Poblado,Comuna 6
705231926741978496,Dormitorio privado completamente amueblado,676886.0,"Habitación en Medellín, Colombia",-75.5659536,6.2080365,0.0,,2022-02,,,False,1.0,2022.0,MEDELLÍN,El Poblado,Comuna 6
705238414467597824,Increíble dormitorio privado con una ubicación fantástica,676886.0,"Habitación en Medellín, Colombia",-75.5648,6.20754,0.0,,2022-02,,,False,1.0,2022.0,MEDELLÍN,El Poblado,Comuna 6
940756738873697792,Casa bohemia con jacuzzi y azotea,751143.0,"Vivienda rentada entero en Medellín, Colombia",-75.5963422,6.2494708,39.0,4.97,2023-07,True,39.0,False,3.0,2023.0,MEDELLÍN,Laureles Estadio,Comuna 10
1044163892876461952,Apartamento Morph 802-Serene en Poblado con balcón privado,709701.0,"Vivienda rentada entero en Medellín, Colombia",-75.5671467,6.2017048,1.0,,2017-01,True,3674.0,False,2.0,2017.0,MEDELLÍN,El Poblado,Comuna 6
1015401669235102208,Poblado Ultra Luxury 2Br+Jacuzzi privado con vistas,788869.0,"Vivienda rentada entero en Medellín, Colombia",-75.55465,6.20633,12.0,4.92,2018-10,True,1019.0,False,2.0,2018.0,MEDELLÍN,El Poblado,Comuna 6
1034952667393144832,"|EP| Impresionante apartamento de Provenza con aire acondicionado, diseño elegante",1192309.0,"Vivienda rentada entero en Medellín, Colombia",-75.56748,6.21076,9.0,5.0,2022-08,True,320.0,False,2.0,2022.0,MEDELLÍN,El Poblado,Comuna 6
684728262855885824,Provenza Forever W&L Edificio 93,846833.0,"Vivienda rentada entero en Medellín, Colombia",-75.5618821,6.2026787,66.0,4.85,2021-06,True,1167.0,False,3.0,2021.0,MEDELLÍN,El Poblado,Comuna 6
804317355815939072,(501). Apartamento de lujo de dos habitaciones. En Provenza Mde.,761160.0,"Vivienda rentada entero en Medellín, Colombia",-75.56574,6.21152,17.0,4.94,2022-10,True,173.0,True,2.0,2022.0,MEDELLÍN,El Poblado,Comuna 6
52367511,Paz 302 Tropic,737410.0,"Apartamento con servicios incluidos entero en Medellín, Colombia",-75.56641,6.21066,115.0,4.9,2019-01,True,2754.0,True,2.0,2019.0,MEDELLÍN,El Poblado,Comuna 6
1014414562884901632,¡El Regal Astorga! 2bd/2ba/Patio/Lavandería/150mbWIFI,629385.0,"Vivienda rentada entero en Medellín, Colombia",-75.57427274,6.208641044,11.0,5.0,2015-07,True,972.0,False,2.0,2015.0,MEDELLÍN,El Poblado,Comuna 6
973263804766052992,The Spot Bldg 53,959301.0,"Vivienda rentada entero en Medellín, Colombia",-75.56426052,6.210424362,19.0,4.89,2021-06,True,1167.0,False,3.0,2021.0,MEDELLÍN,El Poblado,Comuna 6
12366172,Energy  Balcón con Jacuzzi Privado /AC Gran Vista,735708.0,"Loft entero en Medellín, Colombia",-75.55898,6.21039,239.0,4.97,2016-03,True,462.0,False,1.0,2016.0,MEDELLÍN,El Poblado,Comuna 6
664694503891639296,Apartamento penthouse de 180 m2 con jacuzi & turco,780000.0,"Loft entero en Medellín, Colombia",-75.567543,6.211037,53.0,4.81,2020-02,True,319.0,True,1.0,2020.0,MEDELLÍN,El Poblado,Comuna 6
842962962959692544,"Lujo y moderno, cerca de Provenza",671429.0,"Vivienda rentada entero en Medellín, Colombia",-75.5646733,6.2133147,35.0,5.0,2022-12,True,35.0,False,2.0,2022.0,MEDELLÍN,El Poblado,Comuna 6
740139696551157120,Jacuzzi privado » Energy Living » Pvt. Balcón,684209.0,"Vivienda rentada entero en Medellín, Colombia",-75.559314,6.2112306,46.0,4.91,2011-09,True,99.0,False,1.0,2011.0,MEDELLÍN,El Poblado,Comuna 6
1036223538062007168,"Chill Haven: Jacuzzi, BBQ, Pool - Morph 1301",735114.0,"Vivienda rentada entero en Medellín, Colombia",-75.5671467,6.2017048,2.0,,2021-10,True,240.0,False,2.0,2021.0,MEDELLÍN,El Poblado,Comuna 6
937608539557230720,Increíble jacuzzi privado con terraza de 3 dormitorios en Laureles,863485.0,"Vivienda rentada entero en Medellín, Colombia",-75.5914036,6.2503603,5.0,5.0,2015-05,True,916.0,False,3.0,2015.0,MEDELLÍN,Laureles Estadio,Comuna 10
896246133534181376,La vista. En el cielo de Provenza.,607735.0,"Vivienda rentada entero en Medellín, Colombia",-75.5644,6.21003,28.0,5.0,2021-06,True,1167.0,False,2.0,2021.0,MEDELLÍN,El Poblado,Comuna 6
724433026929761920,- ¡¡Cama king y jacuzzi privado! -,720428.0,"Loft entero en Medellín, Colombia",-75.56489926,6.210500854,92.0,4.99,2015-09,True,907.0,False,1.0,2015.0,MEDELLÍN,El Poblado,Comuna 6
1035614887095253632,"Chill Haven: jacuzzi, barbacoa, piscina 1301",735114.0,"Vivienda rentada entero en Medellín, Colombia",-75.5671467,6.2017048,8.0,5.0,2017-01,True,3674.0,False,2.0,2017.0,MEDELLÍN,El Poblado,Comuna 6
1014454160248747392,El mejor apartamento de lujo con impresionantes vistas| Jacuzzi privado.,752095.0,"Vivienda rentada entero en Medellín, Colombia",-75.55465,6.20633,6.0,5.0,2018-10,True,1019.0,False,2.0,2018.0,MEDELLÍN,El Poblado,Comuna 6
51445410,Edificio Provenza Forever W&L 63,887258.0,"Vivienda rentada entero en Medellín, Colombia",-75.5627,6.20293,121.0,4.87,2021-06,True,1167.0,False,3.0,2021.0,MEDELLÍN,El Poblado,Comuna 6
804310257090603264,(301). Apartamento de lujo de dos habitaciones. En Provenza Mde.,681992.0,"Vivienda rentada entero en Medellín, Colombia",-75.56683,6.21145,26.0,4.73,2022-10,True,173.0,False,2.0,2022.0,MEDELLÍN,El Poblado,Comuna 6
1039864130262759936,Amplio apartamento con vistas a la ciudad y jacuzzi - Morph 701,735114.0,"Vivienda rentada entero en Medellín, Colombia",-75.5671467,6.2017048,2.0,,2021-10,True,240.0,False,2.0,2021.0,MEDELLÍN,El Poblado,Comuna 6
1022039196468138752,Hermoso penthouse en Laureles con jacuzzi,565497.0,"Vivienda rentada entero en Medellín, Colombia",-75.59430359,6.248040644,14.0,4.86,2022-10,True,197.0,False,2.0,2022.0,MEDELLÍN,Laureles Estadio,Comuna 10
